email,name
"tch19e-g6-037@opg.com","TCH: Otto Holden 19E-G6-037"
"tch19e-h6-042@opg.com","TCH: Cafe Common Ground 19E-H6-042"
"tch19e-j6-046@opg.com","TCH: Ranney Falls 19E-J6-046"
"tch19n-e5-011@opg.com","TCH: Sir Adam Beck 19N-E5-011"
"700u-18n-e4-019-portlands-energy@opgonline.com","TCH: Portlands Energy 18N-E4-019"
"700u-18w-f4-015-brighton-beach@opgonline.com","TCH: Brighton Beach 18W-F4-015"
"700u-18w-g4-013-calabogie@opgonline.com","TCH: Calabogie 18W-G4-013"
"700u-18w-g4-014-meyersbug@opgonline.com","TCH: Myersburg 18W-G4-014"
"teamsroom_700u-18e-h6-044-south-falls@opgonline.com","TCH: South Falls 18E-H6-044"
"teamsroom_700u-18e-h6-045-crystal-falls@opgonline.com","TCH: Crystal Falls 18E-H6-045"
"teamsroom_700u-18e-h7-050_lower_sturgeon@opgonline.com","TCH: Lower Sturgeon 18E-H7-050"
"teamsroom_700u-18n-b5-031-alexander@opgonline.com","TCH: Alexander 18N-B5-031"
"teamsroom_700u-18n-d6-036-kakabeka-falls@opgonline.com","TCH: Kakabeka Falls 18N-D6-036"
"teamsroom_700u-18n-d6-038-cameron-falls@opgonline.com","TCH: Cameron Falls 18N-D6-038"
"teamsroom_700u-18n-d6-039_pine_portage@opgonline.com","TCH: Pine Portage 18N-D6-039"
"teamsroom_700u-18s-m6-052-pickering@opgonline.com","TCH: Pickering 18S-M6-052"
"teamsroom_700u-18s-m6-053-nipissing@opgonline.com","TCH: Nipissing 18S-M6-053"
"teamsroom_700u-18s-m6-056-wesleyville@opgonline.com","TCH: Wesleyville 18S-M6-056"
"teamsroom_700u-18s-p5-059-eugenia@opgonline.com","TCH: Eugenia 18S-P5-059"
"teamsroom_700u-18w-f4-017-lennox@opgonline.com","TCH: Lennox 18W-F4-017"
"teamsroom_700u-19e-g6-039_seymour_tap@opgonline.com","TCH: Seymour 19E-G6-039"
"teamsroom_700u-19e-j7-049desjoachims_tap@opgonline.com","TCH: Des Joachims 19E-J7-049"
"teamsroom_700u-19n-b5-026-kipling_tap@opgonline.com","TCH: Kipling 19N-B5-026"
"teamsroom_700u-19n-b6-027_harmon_tap@opgonline.com","TCH: Harmon 19N-B6-027"
"teamsroom_700u-19n-d6-028-smokey-falls_tap@opgonline.com","TCH: Smokey Falls 19N-D6-028"
"teamsroom_700u-19n-d6-029-littlelong_tap@opgonline.com","TCH: Little Long 19N-D6-029"
"teamsroom_700u-19n-d6-032_peter_sutherland@opgonline.com","TCH: Peter Sutherland 19N-D6-032"
"teamsroom_700u-19n-d7-034-abitibicanyon@opgonline.com","TCH: Abitibi Canyon 19N-D7-034"
"teamsroom_700u-19s-m6-051stewartville_tap@opgonline.com","TCH: Stewartville 19S-M6-051"
"teamsroom_700u-19s-m6-067thunderbay_tap@opgonline.com","TCH: Thunder Bay 19S-M6-067"
"teamsroom_700u-19s-m7-055chatsfalls_tap@opgonline.com","TCH: Chats Falls 19S-M7-055"
"teamsroom_700u-19s-n6-066chenaux_tap@opgonline.com","TCH: Chenaux 19S-N6-066"
"teamsroom_700u-19s-p5-058saunders_tap@opgonline.com","TCH: Saunders 19S-P5-058"
"teamsroom_700u-19s-p6-057_mountain_chute_tap@opgonline.com","TCH: Mountain Chute 19S-P6-057"
"teamsroom_700u-19w-f4-010-darlington@opgonline.com","TCH: Darlington 19W-F4-010"
"teamsroom_700u-19w-g4-009-eagle-creek@opgonline.com","TCH: Eagle Creek 19W-G4-009"
"teamsroom_700u-19w-h3-007turbinehall_tap@opgonline.com","TCH: Turbine Hall 19W-H3-007"
"teamsroom_700u-19w-k4-078nanticoke_tap@opgonline.com","TCH: Nanticoke 19W-K4-078"
"teamsroom_700u-19w-k4-079_lake_view@opgonline.com","TCH: Lakeview 19W-K4-079"
"teamsroom_700u-19w-l4-077lambton_tap@opgonline.com","TCH: Lambton 19W-L4-077"
